"fecha","Freq"
"2021-09-12",1957
"2021-09-13",2967
"2021-09-14",4032
"2021-09-15",4319
"2021-09-16",4440
"2021-09-17",4606
"2021-09-18",3770
"2021-09-19",3324
"2021-09-20",3861
"2021-09-21",4051
"2021-09-22",2911
"2021-09-23",4296
"2021-09-24",4449
"2021-09-25",3748
"2021-09-26",3485
"2021-09-27",3965
"2021-09-28",2906
"2021-09-29",4119
"2021-09-30",3338
"2021-10-01",4334
"2021-10-02",2230
"2021-10-03",2979
"2021-10-04",4245
"2021-10-05",4816
"2021-10-06",4211
"2021-10-07",3985
"2021-10-08",2906
"2021-10-09",3327
"2021-10-10",2119
"2021-10-11",2810
"2021-10-12",4642
"2021-10-13",1712
"2021-10-14",3758
"2021-10-15",4523
"2021-10-16",3610
"2021-10-17",2615
"2021-10-18",4537
"2021-10-19",4806
"2021-10-20",4863
"2021-10-21",4761
"2021-10-22",4013
"2021-10-23",3177
"2021-10-24",3383
"2021-10-25",4526
"2021-10-26",4485
"2021-10-27",4567
"2021-10-28",4699
"2021-10-29",4747
"2021-10-30",3268
"2021-10-31",3083
"2021-11-01",2418
"2021-11-02",4470
"2021-11-03",4836
"2021-11-04",4555
"2021-11-05",3723
"2021-11-06",3554
"2021-11-07",3213
"2021-11-08",4682
"2021-11-09",4659
"2021-11-10",4816
"2021-11-11",4862
"2021-11-12",4720
"2021-11-13",2694
"2021-11-14",3161
"2021-11-15",4267
"2021-11-16",4061
"2021-11-17",4768
"2021-11-18",4756
"2021-11-19",4609
"2021-11-20",3243
"2021-11-21",2863
"2021-11-22",2504
"2021-11-23",4614
"2021-11-24",4728
"2021-11-25",3273
"2021-11-26",4499
"2021-11-27",3631
"2021-11-28",2002
"2021-11-29",4526
"2021-11-30",4750
"2021-12-01",4622
"2021-12-02",4847
"2021-12-03",4694
"2021-12-04",3243
"2021-12-05",3105
"2021-12-06",4593
"2021-12-07",4691
"2021-12-08",3503
"2021-12-09",4689
"2021-12-10",3882
"2021-12-11",3612
"2021-12-12",2156
"2021-12-13",4582
"2021-12-14",3573
"2021-12-15",4794
"2021-12-16",4785
"2021-12-17",4825
"2021-12-18",3470
"2021-12-19",2824
"2021-12-20",4245
"2021-12-21",4332
"2021-12-22",4448
"2021-12-23",4086
"2021-12-24",2370
"2021-12-25",1415
"2021-12-26",2115
"2021-12-27",3508
"2021-12-28",3559
"2021-12-29",3350
"2021-12-30",3275
"2021-12-31",1846
"2022-01-01",1011
"2022-01-02",1924
"2022-01-03",3182
"2022-01-04",2901
"2022-01-05",3533
"2022-01-06",3603
"2022-01-07",3475
"2022-01-08",2634
"2022-01-09",2224
"2022-01-10",3263
"2022-01-11",3087
"2022-01-12",3102
"2022-01-13",3011
"2022-01-14",2763
"2022-01-15",1997
"2022-01-16",1940
"2022-01-17",3049
"2022-01-18",3699
"2022-01-19",3777
"2022-01-20",3524
"2022-01-21",3107
"2022-01-22",2594
"2022-01-23",2170
"2022-01-24",3108
"2022-01-25",3403
"2022-01-26",3496
"2022-01-27",4211
"2022-01-28",4176
"2022-01-29",3235
"2022-01-30",2871
"2022-01-31",4238
"2022-02-01",4374
"2022-02-02",3844
"2022-02-03",4117
"2022-02-04",3869
"2022-02-05",3010
"2022-02-06",3055
"2022-02-07",4593
"2022-02-08",4593
"2022-02-09",4535
"2022-02-10",4664
"2022-02-11",3355
"2022-02-12",3237
"2022-02-13",3198
"2022-02-14",4567
"2022-02-15",4690
"2022-02-16",4704
"2022-02-17",4732
"2022-02-18",4781
"2022-02-19",3091
"2022-02-20",2989
"2022-02-21",4541
"2022-02-22",4851
"2022-02-23",4786
"2022-02-24",3542
"2022-02-25",4636
"2022-02-26",2959
"2022-02-27",2049
"2022-02-28",2605
"2022-03-01",2967
"2022-03-02",4536
"2022-03-03",4448
"2022-03-04",3800
"2022-03-05",2024
"2022-03-06",2881
"2022-03-07",4216
"2022-03-08",4788
"2022-03-09",1799
"2022-03-10",4949
"2022-03-11",4879
"2022-03-12",3921
"2022-03-13",3441
"2022-03-14",4997
"2022-03-15",5121
"2022-03-16",5235
"2022-03-17",5217
"2022-03-18",3234
"2022-03-19",3527
"2022-03-20",2796
"2022-03-21",4554
"2022-03-22",4477
"2022-03-23",4510
"2022-03-24",1934
"2022-03-25",3565
"2022-03-26",3433
"2022-03-27",3509
"2022-03-28",4742
"2022-03-29",3776
"2022-03-30",4337
"2022-03-31",4354
"2022-04-01",4381
"2022-04-02",3159
"2022-04-03",2409
"2022-04-04",4634
"2022-04-05",5063
"2022-04-06",5188
"2022-04-07",5039
"2022-04-08",4957
"2022-04-09",3764
"2022-04-10",2546
"2022-04-11",4074
"2022-04-12",4905
"2022-04-13",4965
"2022-04-14",3749
"2022-04-15",3111
"2022-04-16",3133
"2022-04-17",2694
"2022-04-18",4788
"2022-04-19",6772
"2022-04-20",4633
"2022-04-21",4957
"2022-04-22",3290
"2022-04-23",3460
"2022-04-24",3379
"2022-04-25",4799
"2022-04-26",5497
"2022-04-27",4700
"2022-04-28",4801
"2022-04-29",4494
"2022-04-30",2637
"2022-05-01",2681
"2022-05-02",4258
"2022-05-03",4658
"2022-05-04",4634
"2022-05-05",4909
"2022-05-06",4740
"2022-05-07",3640
"2022-05-08",3179
"2022-05-09",4412
"2022-05-10",4675
"2022-05-11",4493
"2022-05-12",4495
"2022-05-13",4268
"2022-05-14",3174
"2022-05-15",2556
"2022-05-16",3722
"2022-05-17",5395
"2022-05-18",2161
"2022-05-19",4108
"2022-05-20",4147
"2022-05-21",3031
"2022-05-22",2740
"2022-05-23",4187
"2022-05-24",4254
"2022-05-25",1233
"2022-05-26",3716
"2022-05-27",3871
